#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-54-15
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1314948757.993269	CfJkXL2VFCrvb7EY8h	192.168.2.10	1031	208.109.174.38	80	25	GET	www.cfcare.org	/shadowbox/skin/classic/icons/close.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2955	200	OK	-	-	-	(empty)	-	-	-	-	-	FvY8Pr48CAvL6ZoCn6	image/png
1314948758.041663	C4ojIV29JSO1DEu4Oh	192.168.2.10	1039	208.109.174.38	80	2	GET	www.cfcare.org	/shadowbox/skin/classic/icons/next.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	248	200	OK	-	-	-	(empty)	-	-	-	-	-	FxIvTH1g3r9IZ0pMc2	image/png
1314948758.104122	CfJkXL2VFCrvb7EY8h	192.168.2.10	1031	208.109.174.38	80	26	GET	www.cfcare.org	/shadowbox/skin/classic/icons/play.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	211	200	OK	-	-	-	(empty)	-	-	-	-	-	Feu1q9OgPPx36EyXb	image/png
1314948758.144166	C4ojIV29JSO1DEu4Oh	192.168.2.10	1039	208.109.174.38	80	3	GET	www.cfcare.org	/shadowbox/skin/classic/icons/pause.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	155	200	OK	-	-	-	(empty)	-	-	-	-	-	Fmw2ZS2L21DUn0iAn7	image/png
1314948758.183834	CfJkXL2VFCrvb7EY8h	192.168.2.10	1031	208.109.174.38	80	27	GET	www.cfcare.org	/shadowbox/skin/classic/icons/previous.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	237	200	OK	-	-	-	(empty)	-	-	-	-	-	F0aKub1Xogdruu7jt8	image/png
1314948758.784013	C86PW128oP4pSGTXk5	192.168.2.10	1040	199.59.149.200	80	1	GET	api.twitter.com	/1/trends/daily.json?callback=jsonp1314963034751&date=2011-08-30&_=1314963038843	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43835	200	OK	-	-	-	(empty)	-	-	-	-	-	Fd0O0s2qtxmi8TUyH1	text/plain
1314948759.247543	C4FIhV2LQPeFqdW0pj	192.168.2.10	1041	67.210.105.156	80	1	GET	gdedkxwgbvf.com	/index.php?tp=001e4bb7b4d7333d	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	179216	200	OK	-	-	-	(empty)	-	-	-	-	-	FJDTkH1l4cs3u6bmee	text/html
1314948761.363281	CYXlFe1iL7ew1kJBE1	192.168.2.10	1047	67.210.105.156	80	1	GET	gdedkxwgbvf.com	/w.php?f=26&e=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	61952	200	OK	-	-	-	(empty)	-	-	-	-	-	Fjh2YX1uI9L1O857Uf	application/x-dosexec
1314948757.845183	CXcX2S14EijwwbrFN	192.168.2.10	1032	208.109.174.38	80	26	GET	www.cfcare.org	/shadowbox/skin/classic/overlay.png	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
1314948762.795793	CIoHXg39ZJgbNA3I1j	192.168.2.10	1048	67.210.105.156	80	1	GET	gdedkxwgbvf.com	/content/2fdp.php?f=26	http://gdedkxwgbvf.com/index.php?tp=001e4bb7b4d7333d	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	95811	200	OK	-	-	-	(empty)	-	-	-	-	-	Ffa5TX1alZOCsh1ODi	application/pdf
1314948772.87331	C4ojIV29JSO1DEu4Oh	192.168.2.10	1039	208.109.174.38	80	4	GET	www.cfcare.org	/stylesheets/images/slideNumbers.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
1314948772.875179	CfJkXL2VFCrvb7EY8h	192.168.2.10	1031	208.109.174.38	80	28	GET	www.cfcare.org	/stylesheets/images/slideNumbers.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
1314948772.911266	C4ojIV29JSO1DEu4Oh	192.168.2.10	1039	208.109.174.38	80	5	GET	www.cfcare.org	/stylesheets/images/slideNumbers.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
1314948773.009622	CmgcLh3qWF6mSgxtTi	192.168.2.10	1059	67.210.105.156	80	1	GET	gdedkxwgbvf.com	/content/field.swf	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1297	200	OK	-	-	-	(empty)	-	-	-	-	-	FOO8j84o0Zdnt2N0x3	application/x-shockwave-flash
1314948773.527131	C4ojIV29JSO1DEu4Oh	192.168.2.10	1039	208.109.174.38	80	6	GET	www.cfcare.org	/images/homeslides/1.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
