#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-42-36
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1341049535.424691	CKzKLo16AYLeemEFOi	192.168.80.10	1041	110.45.152.74	80	3	GET	www.pandora.tv	/gnb/top_contents.ptv?jsoncallback=jQuery162011818387907300393_1341063794345&position=main&view_type=&cate_position=&_=1341063816515	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1375	200	OK	-	-	-	(empty)	-	-	-	-	-	FyIVFRvpZvLTwd1z9	text/html
1341049535.119104	CTUtdl40fW5OcNgiva	192.168.80.10	1046	209.137.130.253	80	1	GET	imgcdn.pandora.tv	/ptv_img/everyon_img/main_bg_img/1331202266.jpg	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	118770	200	OK	-	-	-	(empty)	-	-	-	-	-	FtOa8j4zyAz3ltv85k	image/jpeg
1341049535.869637	CNijhW3WVGcqMOjAo	192.168.80.10	1052	96.17.51.191	80	1	GET	download.macromedia.com	/pub/shockwave/cabs/flash/swflash.cab	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1341049535.549524	CyzGonQFHoIRrOW5h	192.168.80.10	1047	209.137.130.253	80	3	GET	imgcdn.pandora.tv	/ptv_img/everyon_img/bg_rolling.jpg	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3029	200	OK	-	-	-	(empty)	-	-	-	-	-	FkF0QE46hXAKB2wlae	image/jpeg
1341049535.907112	CyzGonQFHoIRrOW5h	192.168.80.10	1047	209.137.130.253	80	4	GET	imgcdn.pandora.tv	/ptv_img/everyon_img/ev_bt02.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6683	200	OK	-	-	-	(empty)	-	-	-	-	-	Fe0VoJ3YUMy9xdA5Ik	image/png
1341049535.963027	CyzGonQFHoIRrOW5h	192.168.80.10	1047	209.137.130.253	80	5	GET	imgcdn.pandora.tv	/ptv_img/everyon_img/ev_bt03.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7843	200	OK	-	-	-	(empty)	-	-	-	-	-	FKkWcH2utvCBFbDYRe	image/png
1341049535.725343	CTUtdl40fW5OcNgiva	192.168.80.10	1046	209.137.130.253	80	2	GET	imgcdn.pandora.tv	/ptv_img/everyon_img/bn_icon_dec.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1208	200	OK	-	-	-	(empty)	-	-	-	-	-	F0pweaUZnuBybcKdf	image/png
1341049536.084754	CTUtdl40fW5OcNgiva	192.168.80.10	1046	209.137.130.253	80	3	GET	imgcdn.pandora.tv	/ptv_img/everyon_img/qr_ipad.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14418	200	OK	-	-	-	(empty)	-	-	-	-	-	FNgkQmplOkrRULgf	image/png
1341049536.192821	CTUtdl40fW5OcNgiva	192.168.80.10	1046	209.137.130.253	80	4	GET	imgcdn.pandora.tv	/ptv_img/everyon_img/qr_android.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19627	200	OK	-	-	-	(empty)	-	-	-	-	-	FuZJqa1SS1CfWDZwp	image/png
1341049536.254466	CTUtdl40fW5OcNgiva	192.168.80.10	1046	209.137.130.253	80	5	GET	imgcdn.pandora.tv	/ptv_img/everyon_img/bg_qr.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10300	200	OK	-	-	-	(empty)	-	-	-	-	-	FwPRUR2W5PyIqNDiLc	image/png
1341049536.018749	CyzGonQFHoIRrOW5h	192.168.80.10	1047	209.137.130.253	80	6	GET	imgcdn.pandora.tv	/ptv_img/everyon_img/qr_iphone.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13592	200	OK	-	-	-	(empty)	-	-	-	-	-	F6WNZc1PGtNWniDdQ4	image/png
1341049536.317473	CTUtdl40fW5OcNgiva	192.168.80.10	1046	209.137.130.253	80	6	GET	imgcdn.pandora.tv	/ptv_img/everyon_img/qr_window.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	15587	200	OK	-	-	-	(empty)	-	-	-	-	-	FIVpQi23LDWX3CdwO5	image/png
1341049536.391451	CyzGonQFHoIRrOW5h	192.168.80.10	1047	209.137.130.253	80	7	GET	imgcdn.pandora.tv	/ptv_img/everyon_img/ev_t01.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1449	200	OK	-	-	-	(empty)	-	-	-	-	-	F07lj24K4qmkV3gIub	image/png
1341049536.749475	CyzGonQFHoIRrOW5h	192.168.80.10	1047	209.137.130.253	80	8	GET	imgcdn.pandora.tv	/ptv_img/newptv/footer_line.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2812	200	OK	-	-	-	(empty)	-	-	-	-	-	Frmp6L2h2BQUveGMBa	image/png
1341049536.693293	CTUtdl40fW5OcNgiva	192.168.80.10	1046	209.137.130.253	80	7	GET	imgcdn.pandora.tv	/ptv_img/everyon_img/ev_m02.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	54979	200	OK	-	-	-	(empty)	-	-	-	-	-	FDquKV3GJcztS1F4v8	image/png
1341049536.806402	CyzGonQFHoIRrOW5h	192.168.80.10	1047	209.137.130.253	80	9	GET	imgcdn.pandora.tv	/ptv_img/everyon_img/ev_t02.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1765	200	OK	-	-	-	(empty)	-	-	-	-	-	Fp67oOEONxTILYK1c	image/png
1341049537.15984	CyzGonQFHoIRrOW5h	192.168.80.10	1047	209.137.130.253	80	10	GET	imgcdn.pandora.tv	/ptv_img/newptv/pop_category_top.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1524	200	OK	-	-	-	(empty)	-	-	-	-	-	F63lMD1LRGHSbt9oK8	image/png
1341049537.214874	CyzGonQFHoIRrOW5h	192.168.80.10	1047	209.137.130.253	80	11	GET	imgcdn.pandora.tv	/ptv_img/newptv/pop_category_btm.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1403	200	OK	-	-	-	(empty)	-	-	-	-	-	FlZvP8122hnaeJ4N39	image/png
1341049537.070883	CTUtdl40fW5OcNgiva	192.168.80.10	1046	209.137.130.253	80	8	GET	imgcdn.pandora.tv	/ptv_img/everyon_img/ev_bg02.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1165	200	OK	-	-	-	(empty)	-	-	-	-	-	FVr2rG34oDONI4dV2d	image/png
1341049537.270177	CyzGonQFHoIRrOW5h	192.168.80.10	1047	209.137.130.253	80	12	GET	imgcdn.pandora.tv	/static/remain/bg_img_1340935525.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	188640	200	OK	-	-	-	(empty)	-	-	-	-	-	FNzOZp3ulmKAY4ofO9	image/png
