#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-59-16
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1361907281.751584	C7u7A1pxkn8eCAlPk	192.168.44.10	1034	23.33.187.82	80	13	GET	cdn.pastemagazine.com	/www/articles/2013/02/25/shameless6sq.jpg?1361791230	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	95215	200	OK	-	-	-	(empty)	-	-	-	-	-	F8YxN54ziW9RdCyPZj	image/jpeg
1361907281.699717	CFKoqe4a2pkYorT3N1	192.168.44.10	1053	85.17.26.163	80	2	GET	magic.doomsday.cl	/traffic?check=1&banner=7	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	317	200	OK	-	-	-	(empty)	-	-	-	-	-	Fdrlro39FeHfi70TF4	text/html
1361907281.848068	C7u7A1pxkn8eCAlPk	192.168.44.10	1034	23.33.187.82	80	14	GET	cdn.pastemagazine.com	/www/articles/rsz_himym818.jpg?1361828140	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	60795	200	OK	-	-	-	(empty)	-	-	-	-	-	FImHRv1oaO2hLgonv1	image/jpeg
1361907281.959666	C7u7A1pxkn8eCAlPk	192.168.44.10	1034	23.33.187.82	80	15	GET	cdn.pastemagazine.com	/www/articles/rsz_following106.jpg?1361833480	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	25551	200	OK	-	-	-	(empty)	-	-	-	-	-	F5NF8MzRxcIHbcBF8	image/jpeg
1361907282.030747	C7u7A1pxkn8eCAlPk	192.168.44.10	1034	23.33.187.82	80	16	GET	cdn.pastemagazine.com	/www/articles/girls video games square.jpg?1361790428	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	80065	200	OK	-	-	-	(empty)	-	-	-	-	-	FCGDdS3zZnbS42Ttxj	image/jpeg
1361907281.69917	CNvzfd3DJBOzPVbe2j	192.168.44.10	1033	23.33.187.82	80	15	GET	cdn.pastemagazine.com	/www/articles/Stand-up-guys-squared.jpeg?1360962947	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	110872	200	OK	-	-	-	(empty)	-	-	-	-	-	FsGHrc2IMtqnhPDVG5	image/jpeg
1361907282.14235	CNvzfd3DJBOzPVbe2j	192.168.44.10	1033	23.33.187.82	80	16	GET	cdn.pastemagazine.com	/www/articles/metal gear rising revengeance box square.jpg?1361294506	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	101396	200	OK	-	-	-	(empty)	-	-	-	-	-	FUEyZy18H0ZNuEtFO8	image/jpeg
1361907282.120313	C7u7A1pxkn8eCAlPk	192.168.44.10	1034	23.33.187.82	80	17	GET	cdn.pastemagazine.com	/www/articles/depression quest logo final.jpg?1361465521	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	111229	200	OK	-	-	-	(empty)	-	-	-	-	-	Fp9QBx3uhysBGn5quc	image/jpeg
1361907282.238602	CNvzfd3DJBOzPVbe2j	192.168.44.10	1033	23.33.187.82	80	17	GET	cdn.pastemagazine.com	/www/articles/sly cooper thieves in tim esquare.jpg?1360945974	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	108151	200	OK	-	-	-	(empty)	-	-	-	-	-	FRYoNE6lr76gL64o9	image/jpeg
1361907282.405597	CF1gAE2CeJ2DDroav8	192.168.44.10	1063	74.125.140.149	80	1	GET	s0.2mdn.net	/1316334/5148166_BL_FY13_DIGITAL_SLEEK_300x250_STATIC_V2.jpeg	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	24959	200	OK	-	-	-	(empty)	-	-	-	-	-	FwqLPC2rC6xQlaczRe	image/jpeg
