#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-50-43
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1337804056.243836	C9h0OF44fu1MjyruL7	192.168.21.10	1046	91.103.137.3	80	4	GET	www.meetic-partners.com	/shim.gif	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FGZHxX3fk82sfmeQg3	image/gif
1337804056.192943	CfZoBa1bIDntfaI396	192.168.21.10	1032	46.20.229.1	80	8	GET	www.thelocal.de	/articleImages/42721.jpg	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	49793	200	OK	-	-	-	(empty)	-	-	-	-	-	FZE7hA2xr17doHQUR6	image/jpeg
1337804056.58743	CfZoBa1bIDntfaI396	192.168.21.10	1032	46.20.229.1	80	9	GET	www.thelocal.de	/readeroffer/images/euroflorist_de.gif	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5584	200	OK	-	-	-	(empty)	-	-	-	-	-	FWiO4x3FclVTs9MFgi	image/gif
1337804056.459698	CJVBNk4JO1hkUuyqt	192.168.21.10	1045	91.229.91.170	80	2	GET	ads.sharethewords.net	/in/laselack.php	http://ads.sharethewords.net/in/lashtely.php?showtopic=364551	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4904	200	OK	-	-	-	(empty)	-	-	-	-	-	Fdx4Zg3wb1uEsW9YQ5	application/pdf
1337804056.305196	CD2x0L1Ta9BpqlO8Wg	192.168.21.10	1031	46.20.229.1	80	12	GET	www.thelocal.de	/articleImages/42703.jpg	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	47329	200	OK	-	-	-	(empty)	-	-	-	-	-	FJY2eGrXrlifSUBdc	image/jpeg
1337804056.817507	CfZoBa1bIDntfaI396	192.168.21.10	1032	46.20.229.1	80	10	GET	www.thelocal.de	/articleImages/42701.jpg	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	45030	200	OK	-	-	-	(empty)	-	-	-	-	-	FuYrPH3v25JHUcUgdc	image/jpeg
1337804057.111333	CD2x0L1Ta9BpqlO8Wg	192.168.21.10	1031	46.20.229.1	80	13	GET	www.thelocal.de	/articleImages/42699.jpg	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	48147	200	OK	-	-	-	(empty)	-	-	-	-	-	FlR89V2PL8BVDpX8nf	image/jpeg
1337804057.21854	CfZoBa1bIDntfaI396	192.168.21.10	1032	46.20.229.1	80	11	GET	www.thelocal.de	/articleImages/42697.jpg	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	47374	200	OK	-	-	-	(empty)	-	-	-	-	-	FiSWmX3lQ8Wij4Lwf3	image/jpeg
1337804060.81148	CLjPzW2IbWGvOyAiBi	192.168.21.10	1047	74.125.71.156	80	2	GET	pagead2.googlesyndication.com	/pagead/js/r20120516/r20120410/show_ads_impl.js	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	47921	200	OK	-	-	-	(empty)	-	-	-	-	-	FU0kDh440ZGSTH0tMd	text/plain
1337804061.178181	CLjPzW2IbWGvOyAiBi	192.168.21.10	1047	74.125.71.156	80	3	GET	pagead2.googlesyndication.com	/pagead/render_ads.js	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	287	200	OK	-	-	-	(empty)	-	-	-	-	-	FYX4iQ2fQBCRFgdttl	text/plain
1337804061.012978	CB3iVi2LS7j1wqB2rc	192.168.21.10	1049	91.229.91.170	80	1	GET	ads.sharethewords.net	/in/laselack.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4906	200	OK	-	-	-	(empty)	-	-	-	-	-	FBliaz1pdJTsFZFm0h	application/pdf
1337804061.492209	CLjPzW2IbWGvOyAiBi	192.168.21.10	1047	74.125.71.156	80	4	GET	pagead2.googlesyndication.com	/pagead/osd.js	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10856	200	OK	-	-	-	(empty)	-	-	-	-	-	FLB2vlUPp4UCIsDuc	text/plain
1337804061.657715	C7BcAh3iWhLEejQfT1	192.168.21.10	1044	198.87.51.16	80	2	GET	i-cdn.servedbyopenx.com	/273/2732b2df3db1100300d49e826d822014ea3e23e2/df0/df0037c02e5fa995a0ffc629988a9a7f.jpg	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	49545	200	OK	-	-	-	(empty)	-	-	-	-	-	FfmRhi4wJzD4aGtfsh	image/jpeg
1337804061.65842	CtP2A94AOOtjYPn58	192.168.21.10	1037	173.241.250.2	80	4	GET	d1.openx.org	/lg.php?bannerid=766032&campaignid=355991&zoneid=172584&source=home&loc=http://www.thelocal.de/&cb=33d7c97441&r_id=194dea2ed42c79a93314169b946a1146&r_ts=m4hs4f	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FKE0VU3JSsCWc0RCrl	image/gif
1337804061.906064	C7BcAh3iWhLEejQfT1	192.168.21.10	1044	198.87.51.16	80	3	GET	i-cdn.servedbyopenx.com	/1x1.gif	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	807	200	OK	-	-	-	(empty)	-	-	-	-	-	FXXius1xih1NAUNeN3	image/gif
1337804061.936448	C7BcAh3iWhLEejQfT1	192.168.21.10	1044	198.87.51.16	80	4	GET	i-cdn.servedbyopenx.com	/273/2732b2df3db1100300d49e826d822014ea3e23e2/a5b/a5b8eb3269eaf9aa5c2162b214c97ead.swf	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	22681	200	OK	-	-	-	(empty)	-	-	-	-	-	Fv7znt1LGR4uvv6ogb	application/x-shockwave-flash
1337804061.937221	CEpfgB4V1ln3LbWP68	192.168.21.10	1038	173.241.250.2	80	4	GET	d1.openx.org	/lg.php?bannerid=464845&campaignid=222173&zoneid=133453&source=home&loc=http://www.thelocal.de/&cb=8875ef6f32&r_id=d816503e8a738e72d76877202945df5a&r_ts=m4hs4f	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FjBOE01hIfMaPfnhf	image/gif
1337804061.905706	CWpOOYmZU07D8J0H6	192.168.21.10	1051	69.171.224.69	80	1	GET	www.facebook.com	/plugins/likebox.php?id=19360679697&width=300&connections=10&stream=true&header=true&height=587	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14881	200	OK	-	-	-	(empty)	-	-	-	-	-	Fc8fl52EDhMBgznlYi	text/html
1337804062.070925	CutX7m35nkd8WTlUx1	192.168.21.10	1052	27.121.104.59	80	1	GET	www.ukforex.co.uk	/partner-tools/CurrencyConverter/UK/w	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7260	200	OK	-	-	-	(empty)	-	-	-	-	-	FFaefx3fyOQFCYVsA3	text/html
1337804061.53726	CD2x0L1Ta9BpqlO8Wg	192.168.21.10	1031	46.20.229.1	80	14	GET	www.thelocal.de	/articleImages/42687.jpg	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	48558	200	OK	-	-	-	(empty)	-	-	-	-	-	FshUHGo9x1qGS4Z6e	image/jpeg
1337804061.537601	CfZoBa1bIDntfaI396	192.168.21.10	1032	46.20.229.1	80	12	GET	www.thelocal.de	/articleImages/42695.jpg	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	46596	200	OK	-	-	-	(empty)	-	-	-	-	-	F41biu2HCctkbTb54f	image/jpeg
1337804062.504105	CD2x0L1Ta9BpqlO8Wg	192.168.21.10	1031	46.20.229.1	80	15	GET	www.thelocal.de	/marketplace/log/?panel&746cd62d51b298fb6f5a6ba261472a7e&136&197&119&182&198&150&181	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1337804062.58966	CsjVfg41x9ztsKuk11	192.168.21.10	1053	62.210.160.193	80	1	GET	www.easyvols.org	/formulaire/en/type_b/300x250_mevhcp.js	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19337	200	OK	-	-	-	(empty)	-	-	-	-	-	FxZLJt4azzmpy6IpE4	text/plain
1337804062.605219	CutX7m35nkd8WTlUx1	192.168.21.10	1052	27.121.104.59	80	2	GET	www.ukforex.co.uk	/Content/themes/ozforex/telerik.css	http://www.ukforex.co.uk/partner-tools/CurrencyConverter/UK/w	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11063	200	OK	-	-	-	(empty)	-	-	-	-	-	FUpAkc1wywWbRkFKN8	text/plain
1337804062.655336	CXrYkc3qjTy639Shri	192.168.21.10	1055	93.184.216.119	80	1	GET	use.typekit.com	/kmf0idu.js	http://www.ukforex.co.uk/partner-tools/CurrencyConverter/UK/w	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FOOcHOK8VWBjjgWSe	text/plain
1337804062.521407	CfZoBa1bIDntfaI396	192.168.21.10	1032	46.20.229.1	80	13	GET	www.thelocal.de	/articleImages/42717.jpg	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	48442	200	OK	-	-	-	(empty)	-	-	-	-	-	FiHRWKYWMCMvb5D9a	image/jpeg
1337804062.692585	CD2x0L1Ta9BpqlO8Wg	192.168.21.10	1031	46.20.229.1	80	16	GET	www.thelocal.de	/articleImages/42705.jpg	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	44072	200	OK	-	-	-	(empty)	-	-	-	-	-	FPAK5T0cf8T0AuWg5	image/jpeg
1337804062.859761	CP4R2q4GN2TnpZuAd7	192.168.21.10	1054	27.121.104.59	80	1	GET	www.ukforex.co.uk	/Content/themes/ozforex/styles.css	http://www.ukforex.co.uk/partner-tools/CurrencyConverter/UK/w	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	77596	200	OK	-	-	-	(empty)	-	-	-	-	-	FgB0sY1xHIPKqOhl3f	text/plain
1337804063.430044	CD2x0L1Ta9BpqlO8Wg	192.168.21.10	1031	46.20.229.1	80	17	GET	www.thelocal.de	/articleImages/42665.jpg	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	46240	200	OK	-	-	-	(empty)	-	-	-	-	-	FKZDtE4HlUafGTWDPf	image/jpeg
1337804063.440311	CfZoBa1bIDntfaI396	192.168.21.10	1032	46.20.229.1	80	14	GET	www.thelocal.de	/articleImages/42293.jpg	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	46248	200	OK	-	-	-	(empty)	-	-	-	-	-	F7iFWz3SSh9BzkY8P5	image/jpeg
1337804063.992162	CD2x0L1Ta9BpqlO8Wg	192.168.21.10	1031	46.20.229.1	80	18	GET	www.thelocal.de	/articleImages/42163.jpg	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	42390	200	OK	-	-	-	(empty)	-	-	-	-	-	FVgZLC2jne1doKyBY2	image/jpeg
