#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-51-18
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1323296163.86109	C1SsUu2itriQPaeMei	192.168.120.10	1041	95.211.160.232	80	1	GET	subd32.crossfit-recovery.info	/z/11	http://www.nagnews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2211	200	OK	-	-	-	(empty)	-	-	-	-	-	FwG8uZ2XAhe4g4QbWk	text/html
1323296164.036453	C4HDUc1UuewT5wrqd9	192.168.120.10	1042	74.125.229.232	80	1	GET	i3.ytimg.com	/vi/NkwJ-g0iJ6w/hqdefault.jpg	http://s.ytimg.com/yt/swfbin/cps-vflJOcp78.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9664	200	OK	-	-	-	(empty)	-	-	-	-	-	FWpw6G1Gb9NIE8VyWl	image/jpeg
1323296168.900168	COFemm18CXRUMpkBz2	192.168.120.10	1040	74.125.229.230	80	3	GET	i1.ytimg.com	/vi/hIrFollH3rU/hqdefault.jpg	http://s.ytimg.com/yt/swfbin/cps-vflJOcp78.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8265	200	OK	-	-	-	(empty)	-	-	-	-	-	F7PnrA3T5jtKWJ0ezh	image/jpeg
1323296168.879715	C349Q01rqJAOjfLYj8	192.168.120.10	1047	95.211.160.232	80	1	GET	subd32.crossfit-recovery.info	/a/ab20e1aaf0b4bfd20af4b6c3c6114205?pdf=9.1.0	http://subd32.crossfit-recovery.info/z/11	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3190	200	OK	-	-	-	(empty)	-	-	-	-	-	Fdu9Xe4PY4ImHvgIGf	text/plain
1323296168.996832	CCgPIu4dBt7zC5s7ye	192.168.120.10	1048	74.125.229.230	80	1	GET	i1.ytimg.com	/vi/DPt-gvsPuoQ/hqdefault.jpg	http://s.ytimg.com/yt/swfbin/cps-vflJOcp78.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2977	200	OK	-	-	-	(empty)	-	-	-	-	-	FxEJt011Y43i2hNHo3	image/jpeg
1323296169.772568	ChSgb71DIcfl5MFmp	192.168.120.10	1049	95.211.160.232	80	1	GET	subd32.crossfit-recovery.info	/b/1/ab20e1aaf0b4bfd20af4b6c3c6114205	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1378304	200	OK	-	-	-	(empty)	-	-	-	-	-	FJM58t1aJjNdfziB2i	application/x-dosexec
1323296177.211477	CSDs1F2TqowIiTX0Dh	192.168.120.10	1050	95.211.160.232	80	1	GET	subd32.crossfit-recovery.info	/g/ab20e1aaf0b4bfd20af4b6c3c6114205	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	232	404	NOT FOUND	-	-	-	(empty)	-	-	-	-	-	F0zgLh401pexu0YoT7	text/html
1323296183.426058	CTEiMC1AiAFUMschk1	192.168.120.10	1051	95.211.160.232	80	1	GET	subd32.crossfit-recovery.info	/n/ab20e1aaf0b4bfd20af4b6c3c6114205	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	232	404	NOT FOUND	-	-	-	(empty)	-	-	-	-	-	F3KiHd5RC2zNooTTj	text/html
1323296183.839421	CQtSQP24AKvIb4XB4h	192.168.120.10	1052	95.211.160.232	80	1	GET	subd32.crossfit-recovery.info	/n/ab20e1aaf0b4bfd20af4b6c3c6114205	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	232	404	NOT FOUND	-	-	-	(empty)	-	-	-	-	-	FY0svvF38loC88HUh	text/html
1323296184.165258	CnjPKw13p8yWZxjnB8	192.168.120.10	1053	95.211.160.232	80	1	GET	subd32.crossfit-recovery.info	/z/apps/MyApplet.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	219	404	NOT FOUND	-	-	-	(empty)	-	-	-	-	-	FxdemUHyUDAoWXnN1	text/html
1323296184.420865	Cvdnnq4RQcNco3olUe	192.168.120.10	1054	95.211.160.232	80	1	GET	subd32.crossfit-recovery.info	/z/apps/MyApplet.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	219	404	NOT FOUND	-	-	-	(empty)	-	-	-	-	-	F6M1w21dVMjoC2Z0Lh	text/html
1323296200.53545	C0qyuWglH2JGQi501	192.168.120.10	1056	69.31.74.114	80	1	GET	crl.adobe.com	/aum.crl	-	Adobe Update Manager 6	0	2819	200	OK	-	-	-	(empty)	-	-	-	-	-	FrRJa1NqWrffwrlic	binary
1323296200.492261	CreFVz4cL57yf2MWfe	192.168.120.10	1055	69.31.74.105	80	1	GET	swupmf.adobe.com	/manifest/60/win/reader9rdr-en_US.upd	-	Adobe Update Manager 6	0	192693	200	OK	-	-	-	(empty)	-	-	-	-	-	F7dor34HwCN54vPaR4	binary
1323296200.733148	CreFVz4cL57yf2MWfe	192.168.120.10	1055	69.31.74.105	80	2	GET	swupmf.adobe.com	/manifest/60/win/AdobeUpdater.upd	-	Adobe Update Manager 6	0	3524	200	OK	-	-	-	(empty)	-	-	-	-	-	F2Auoq1BbErH9fLWr4	binary
#close	2014-04-03-09-51-20
