#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-11-50
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1333652398.257694	CppZc64IVwBeBFijNc	192.168.4.10	1031	188.92.41.197	80	18	GET	www.livescore.in	/x/js/framework10.js	http://www.livescore.in/iframe/sport.php?sport=soccer&category=0&serial=361	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	106126	200	Status Ok	-	-	-	(empty)	-	-	-	-	-	FhWUao4OuGkFsr91mi	text/html
1333652398.436	CblXAM3Vqu7ZhYaLIk	192.168.4.10	1032	188.92.41.197	80	16	GET	www.livescore.in	/res/_in/image/ajax-loader-soccer.gif	http://www.livescore.in/iframe/sport.php?sport=soccer&category=0&serial=361	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	16583	200	OK	-	-	-	(empty)	-	-	-	-	-	FnrDcs2lHypjdTGG55	image/gif
1333652398.570718	CppZc64IVwBeBFijNc	192.168.4.10	1031	188.92.41.197	80	19	GET	www.livescore.in	/x/js/jsxcompressor.js	http://www.livescore.in/iframe/sport.php?sport=soccer&category=0&serial=361	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12430	200	Status Ok	-	-	-	(empty)	-	-	-	-	-	FXS6Fu2CV6IpRDsABg	text/plain
1333652398.693195	CblXAM3Vqu7ZhYaLIk	192.168.4.10	1032	188.92.41.197	80	17	GET	www.livescore.in	/x/js/core_50_362.js	http://www.livescore.in/iframe/sport.php?sport=soccer&category=0&serial=361	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	162253	200	Status Ok	-	-	-	(empty)	-	-	-	-	-	FTMJWL34Zdvn8S39Ii	text/plain
1333652399.348115	CEZeV73UFDOBDKK9fj	192.168.4.10	1033	74.125.45.138	80	3	GET	www.google-analytics.com	/__utm.gif?utmwv=5.2.6&utms=2&utmn=1832845222&utmhn=www.livescore.in&utmcs=utf-8&utmsr=800x600&utmvp=645x10000&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=www.livescore.in&utmhid=1010593285&utmr=http://www.livescore.in/&utmp=/iframe/sport.php?sport=soccer&category=0&serial=361&utmac=UA-821699-8&utmcc=__utma=94122624.1774204310.1333666678.1333666678.1333666678.1;+__utmz=94122624.1333666678.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=q~	http://www.livescore.in/iframe/sport.php?sport=soccer&category=0&serial=361	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FTC9Qc3GgPyIPnXQ15	image/gif
1333652399.492365	CblXAM3Vqu7ZhYaLIk	192.168.4.10	1032	188.92.41.197	80	18	GET	www.livescore.in	/x/feed/f_1_0_2_en_4~2279	http://www.livescore.in/iframe/sport.php?sport=soccer&category=0&serial=361	core/ie6	0	24237	200	Status Ok	-	-	-	(empty)	-	-	-	-	-	FHCcNG2KAmW6m9Wnpa	text/plain
1333652399.857037	CblXAM3Vqu7ZhYaLIk	192.168.4.10	1032	188.92.41.197	80	19	GET	www.livescore.in	/x/feed/r_1_4~2279	http://www.livescore.in/iframe/sport.php?sport=soccer&category=0&serial=361	core/ie6	0	93	200	Status Ok	-	-	-	(empty)	-	-	-	-	-	FKbsbz3TPL0naUPYDk	text/plain
1333652400.243306	CxaJ6r2So8XTwGN4Rh	192.168.4.10	1039	69.31.73.170	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1759	200	OK	-	-	-	(empty)	-	-	-	-	-	F4ndHO3ziy4l0OTKP2	text/html
1333652399.481424	CppZc64IVwBeBFijNc	192.168.4.10	1031	188.92.41.197	80	20	GET	www.livescore.in	/iframe/flash-transport.swf	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	190233	200	OK	-	-	-	(empty)	-	-	-	-	-	F3GtA5KicztePPn6	application/x-shockwave-flash
1333652400.141786	CblXAM3Vqu7ZhYaLIk	192.168.4.10	1032	188.92.41.197	80	20	GET	www.livescore.in	/res/_in/image/tab-corner.gif	http://www.livescore.in/iframe/sport.php?sport=soccer&category=0&serial=361	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	15467	200	OK	-	-	-	(empty)	-	-	-	-	-	Fhq8U81Rmlyj9Th3cf	image/gif
