#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-19-25
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1331339897.414102	CALMqtIhnRlXpmzQg	192.168.89.10	1043	85.93.18.196	80	1	GET	statimps.com	/?campaignid=737567&type=tracking	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11108	200	OK	-	-	-	(empty)	-	-	-	-	-	FLrWDo2Vu7BzN7aRa2	text/plain
1331339897.52666	CyfYqE3LzRvY1QPmi2	192.168.89.10	1041	208.111.185.209	80	5	GET	blogs.phoenixnewtimes.com	/valleyfever/kenyabirthcertificate-feature.jpg	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12510	200	OK	-	-	-	(empty)	-	-	-	-	-	FFHYjl2mI5ZlHQFoyh	image/jpeg
1331339897.573207	C0iYJ84fLnEjDaMhlj	192.168.89.10	1042	208.111.185.209	80	5	GET	blogs.phoenixnewtimes.com	/jackalope/pinterest.png	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	36381	200	OK	-	-	-	(empty)	-	-	-	-	-	F501Sl4lwcYWXCYQk8	image/png
1331339897.918421	CmTbRe40PTMIfRsFt5	192.168.89.10	1040	69.164.10.161	80	5	GET	media.phoenixnewtimes.com	/clubhouse-music-venue-shooting-in-tempe.7697680.54.jpg	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2958	200	OK	-	-	-	(empty)	-	-	-	-	-	F27oTNeLCMxEP6vH	image/jpeg
1331339897.917871	CqZFlz3USga6yUDKF2	192.168.89.10	1039	69.164.10.161	80	4	GET	media.phoenixnewtimes.com	/miniature-tigers-crescent-ballroom-3-8-12.7696361.54.jpg	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3700	200	OK	-	-	-	(empty)	-	-	-	-	-	Fa44WmqBdpxTg8111	image/jpeg
1331339897.961117	CmTbRe40PTMIfRsFt5	192.168.89.10	1040	69.164.10.161	80	6	GET	media.phoenixnewtimes.com	/7681679.96.jpg	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1619	200	OK	-	-	-	(empty)	-	-	-	-	-	FJQY4zcDfS34ngIsa	image/jpeg
1331339897.966579	CqZFlz3USga6yUDKF2	192.168.89.10	1039	69.164.10.161	80	5	GET	media.phoenixnewtimes.com	/7679475.96.jpg	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1673	200	OK	-	-	-	(empty)	-	-	-	-	-	FFjZEY2x8at1e1Ucif	image/jpeg
1331339897.966319	CmTbRe40PTMIfRsFt5	192.168.89.10	1040	69.164.10.161	80	7	GET	media.phoenixnewtimes.com	/7680138.96.jpg	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1773	200	OK	-	-	-	(empty)	-	-	-	-	-	FIBYyf2kToSY20PLWa	image/jpeg
1331339897.96458	CwFWO61s0Yh4NgBYDj	192.168.89.10	1044	69.164.10.161	80	1	GET	www.phoenixnewtimes.com	/img/vp-pb-logo-lg.png	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6127	200	OK	-	-	-	(empty)	-	-	-	-	-	F0voly3MGHfBNodk5g	image/png
1331339897.857407	C0iYJ84fLnEjDaMhlj	192.168.89.10	1042	208.111.185.209	80	6	GET	blogs.phoenixnewtimes.com	/uponsun/FilmBetter-Than-Something_jpg_627x325_crop_upscale_q85.jpg	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11296	200	OK	-	-	-	(empty)	-	-	-	-	-	FQbIzU1xb5kHmaynVj	image/jpeg
1331339897.8661	CyfYqE3LzRvY1QPmi2	192.168.89.10	1041	208.111.185.209	80	6	GET	blogs.phoenixnewtimes.com	/bella/AAnewrestaurantalert-thumb-250x250-thumb-250x250-thumb-250x250-thumb-250x250-thumb-250x250-thumb-250x250-thumb-250x250-thumb-250x250-thumb-250x250-thumb-250x250.jpg	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	37480	200	OK	-	-	-	(empty)	-	-	-	-	-	F7td8O3zndvIb7Bzjl	image/jpeg
1331339897.918778	CcR1w42vH2KjWhydQe	192.168.89.10	1031	69.164.10.161	80	3	GET	www.phoenixnewtimes.com	/img/button-srSearch.png	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1314	200	OK	-	-	-	(empty)	-	-	-	-	-	FwwaJvqG55nAKgQ97	image/png
1331339898.171415	CyfYqE3LzRvY1QPmi2	192.168.89.10	1041	208.111.185.209	80	7	GET	blogs.phoenixnewtimes.com	/jackalope/guinness-draft1.jpeg	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7904	200	OK	-	-	-	(empty)	-	-	-	-	-	F6LCnb2AXBQ3VMriH8	image/jpeg
1331339898.171146	C0iYJ84fLnEjDaMhlj	192.168.89.10	1042	208.111.185.209	80	7	GET	blogs.phoenixnewtimes.com	/bastard/picresized_1288991020_madpearce.jpg	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6880	200	OK	-	-	-	(empty)	-	-	-	-	-	FflGv336CctTHxQIN2	image/jpeg
1331339898.304547	CyfYqE3LzRvY1QPmi2	192.168.89.10	1041	208.111.185.209	80	8	GET	blogs.phoenixnewtimes.com	/bella/AADSC_0790.JPG	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	22696	200	OK	-	-	-	(empty)	-	-	-	-	-	FFlVDx1Fdnzjlo4Sih	image/jpeg
1331339898.336022	C0iYJ84fLnEjDaMhlj	192.168.89.10	1042	208.111.185.209	80	8	GET	blogs.phoenixnewtimes.com	/bella/AA1arosie-mccaffreys-irish-pub-jamie-peachey-2.5448208.131-thumb-550x357.jpg	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	16752	200	OK	-	-	-	(empty)	-	-	-	-	-	Fsup7V3f3in0G0Z1f3	image/jpeg
1331339898.171834	CMpgiwDmljmI5WGCg	192.168.89.10	1045	91.200.176.24	80	1	GET	jnejbvcs.nl.ai	/google.php?gmpid=2a4baa7030106862	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	48226	200	OK	-	-	-	(empty)	-	-	-	-	-	Fr2UhZ1PGqEcfwkBIf	text/html
1331339903.71356	CMpgiwDmljmI5WGCg	192.168.89.10	1045	91.200.176.24	80	2	GET	jnejbvcs.nl.ai	/w.php?f=00f49&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	344064	200	OK	-	-	-	(empty)	-	-	-	-	-	Foqsxd2y5uLH3Kt5M9	application/x-dosexec
1331339905.375894	CMpgiwDmljmI5WGCg	192.168.89.10	1045	91.200.176.24	80	3	GET	jnejbvcs.nl.ai	/content/ap2.php?f=00f49	http://jnejbvcs.nl.ai/google.php?gmpid=2a4baa7030106862	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12922	200	OK	-	-	-	(empty)	-	-	-	-	-	FW9yOn2QEikHdlc6V6	application/pdf
1331339905.555204	CMVNTUTwamfxKetAk	192.168.89.10	1050	91.200.176.24	80	1	GET	jnejbvcs.nl.ai	/content/field.swf	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1541	200	OK	-	-	-	(empty)	-	-	-	-	-	Fg49ZKwXtJpt1uGg7	application/x-shockwave-flash
1331339913.708633	C0Fvvl804rThjnr57	192.168.89.10	1052	64.72.65.216	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1568	200	OK	-	-	-	(empty)	-	-	-	-	-	FrMPzL3c3D0nTN5zB5	text/html
1331339913.669574	CMpgiwDmljmI5WGCg	192.168.89.10	1045	91.200.176.24	80	4	GET	jnejbvcs.nl.ai	/content/score.swf	http://jnejbvcs.nl.ai/content/field.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6909	200	OK	-	-	-	(empty)	-	-	-	-	-	FUCcuvAVq4Owuw7H5	application/x-shockwave-flash
1331339914.316925	CuS2111ML5YEIKNf7k	192.168.89.10	1051	91.200.176.24	80	1	GET	jnejbvcs.nl.ai	/content/jav2.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8434	200	OK	-	-	-	(empty)	-	-	-	-	-	FUvlSUWrtmpgRoHKj	application/zip
1331339918.346381	CYsqe73vSOXo6NLJia	192.168.89.10	1053	192.204.3.41	80	1	GET	imagec12.247realmedia.com	/RealMedia/ads/Creatives/TheVoice/phx_house_Facebook_010112_HmTop/144098.0.jpg	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12556	200	OK	-	-	-	(empty)	-	-	-	-	-	FGQBEt2jbadBuUQvYe	image/jpeg
#close	2014-04-03-10-19-26
