#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-18-52
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1328298454.908669	CVUsks33U8kK0TS6Pj	192.168.72.10	1046	68.142.118.4	80	1	GET	media.trafficjunky.net	/ads/000/304/813/image304813.jpg	http://ads.trafficjunky.net/ads?zone_id=2838&site_id=37&cache=28435885&millis=1328312734625	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	93406	200	OK	-	-	-	(empty)	-	-	-	-	-	FTJ2PO1x7puqdmorx6	image/jpeg
1328298455.104947	C7C9C25Mgb2I8Rv0l	192.168.72.10	1034	4.27.10.125	80	9	GET	cdn1.pics.gaytube.com	/thumbs/2012-02-02/862f8652a4ee1.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4984	200	OK	-	-	-	(empty)	-	-	-	-	-	F7rqBjWRXAcaLNQck	image/jpeg
1328298455.114291	CD2DMZ5p9AHOLIPI3	192.168.72.10	1035	4.27.10.125	80	10	GET	cdn1.pics.gaytube.com	/thumbs/2012-02-02/bd5639f38e291.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7556	200	OK	-	-	-	(empty)	-	-	-	-	-	FsV2zp43fnijtiDQk	image/jpeg
1328298455.113754	CzYS5P2JKy3Kz9Rkqf	192.168.72.10	1040	173.45.161.166	80	3	GET	cdn2.adrocketmedia.com	/ads/misc/tam/iframe/160x700/01/a/events.js	http://cdn2.adrocketmedia.com/ads/misc/tam/iframe/160x700/01/a/index.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1742	200	OK	-	-	-	(empty)	-	-	-	-	-	FEjA9c1B3lrDCKXm3h	text/plain
1328298455.357763	CD2DMZ5p9AHOLIPI3	192.168.72.10	1035	4.27.10.125	80	11	GET	cdn1.pics.gaytube.com	/thumbs/2012-02-02/6ddd329ff5091.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6700	200	OK	-	-	-	(empty)	-	-	-	-	-	FFvIBa3CbRWyZO6iR2	image/jpeg
1328298455.356772	C7C9C25Mgb2I8Rv0l	192.168.72.10	1034	4.27.10.125	80	10	GET	cdn1.pics.gaytube.com	/thumbs/2012-02-02/c77b29acb67d1.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7281	200	OK	-	-	-	(empty)	-	-	-	-	-	FFOcFg4GpCEq1QC1Qh	image/jpeg
1328298455.621067	C7C9C25Mgb2I8Rv0l	192.168.72.10	1034	4.27.10.125	80	11	GET	cdn1.pics.gaytube.com	/thumbs/2012-02-02/5f376bd943a21.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7611	200	OK	-	-	-	(empty)	-	-	-	-	-	FADaZX2WasJH6hLvB2	image/jpeg
1328298455.620683	CnO3E34zQCZ6QKu7xg	192.168.72.10	1033	4.27.10.125	80	2	GET	cdn1.static.pornhub.phncdn.com	/js/newbar.js	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	15677	200	OK	-	-	-	(empty)	-	-	-	-	-	FEY6UB1PyD4mtKTmd	text/plain
1328298455.696681	CD2DMZ5p9AHOLIPI3	192.168.72.10	1035	4.27.10.125	80	12	GET	cdn1.pics.gaytube.com	/thumbs/2012-02-02/2be12d44cc221.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7636	200	OK	-	-	-	(empty)	-	-	-	-	-	FMKjnz32sQb8JNVZbc	image/jpeg
1328298455.705591	C7C9C25Mgb2I8Rv0l	192.168.72.10	1034	4.27.10.125	80	12	GET	cdn1.pics.gaytube.com	/thumbs/2012-01-17/cc9af867005a1.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7889	200	OK	-	-	-	(empty)	-	-	-	-	-	FDB6dPfct5KxB8EFf	image/jpeg
1328298455.709436	CD2DMZ5p9AHOLIPI3	192.168.72.10	1035	4.27.10.125	80	13	GET	cdn1.pics.gaytube.com	/thumbs/2012-01-29/5f1fe5f175041.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7633	200	OK	-	-	-	(empty)	-	-	-	-	-	F17B3bXwJM7C1nfW1	image/jpeg
1328298455.768559	C7C9C25Mgb2I8Rv0l	192.168.72.10	1034	4.27.10.125	80	13	GET	cdn1.pics.gaytube.com	/thumbs/2012-01-28/ab30fc0d67fe1.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5830	200	OK	-	-	-	(empty)	-	-	-	-	-	FvfNoj1bYQ4hFjoQh8	image/jpeg
1328298455.773477	CD2DMZ5p9AHOLIPI3	192.168.72.10	1035	4.27.10.125	80	14	GET	cdn1.pics.gaytube.com	/thumbs/2012-02-02/2f64365aac3f1.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7581	200	OK	-	-	-	(empty)	-	-	-	-	-	FLRkwVZSAZ04q9nP5	image/jpeg
1328298455.772972	CHyt5FdOixbMJqzT4	192.168.72.10	1047	66.152.88.27	80	1	GET	ad2.gammae.com	/images/1x1.gif	http://ad2.gammae.com/delivery/afr.php?zoneid=11&cb=INSERT_RANDOM_NUMBER_HERE	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	807	200	OK	-	-	-	(empty)	-	-	-	-	-	Fc0vgt2kmhKzscrUtb	image/gif
1328298455.898278	C7C9C25Mgb2I8Rv0l	192.168.72.10	1034	4.27.10.125	80	14	GET	cdn1.pics.gaytube.com	/thumbs/2012-02-02/04113ddbced11.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6117	200	OK	-	-	-	(empty)	-	-	-	-	-	FjrsgV3iAB6Bcg5Ln1	image/jpeg
1328298455.898015	CD2DMZ5p9AHOLIPI3	192.168.72.10	1035	4.27.10.125	80	15	GET	cdn1.pics.gaytube.com	/thumbs/2012-01-28/3c4264f52c731.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7874	200	OK	-	-	-	(empty)	-	-	-	-	-	FVMBVwXKF0yioRql	image/jpeg
1328298456.011023	CD2DMZ5p9AHOLIPI3	192.168.72.10	1035	4.27.10.125	80	16	GET	cdn1.pics.gaytube.com	/thumbs/2012-02-02/b77eebc4cea01.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6150	200	OK	-	-	-	(empty)	-	-	-	-	-	F2uDIb2okHT595enc4	image/jpeg
1328298456.011331	C7C9C25Mgb2I8Rv0l	192.168.72.10	1034	4.27.10.125	80	15	GET	cdn1.pics.gaytube.com	/thumbs/2012-01-17/7ab0ed65ac3d1.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7012	200	OK	-	-	-	(empty)	-	-	-	-	-	FhB9RC3guaaHMgpCsd	image/jpeg
1328298456.072073	CD2DMZ5p9AHOLIPI3	192.168.72.10	1035	4.27.10.125	80	17	GET	cdn1.pics.gaytube.com	/thumbs/2012-01-30/dee97d972df01.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5464	200	OK	-	-	-	(empty)	-	-	-	-	-	FAtsslxFnPffSa2pa	image/jpeg
1328298456.072353	C7C9C25Mgb2I8Rv0l	192.168.72.10	1034	4.27.10.125	80	16	GET	cdn1.pics.gaytube.com	/thumbs/2012-02-02/03b2e40497371.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6463	200	OK	-	-	-	(empty)	-	-	-	-	-	FjiI9MtBMGd4mw6hc	image/jpeg
1328298456.171265	C7C9C25Mgb2I8Rv0l	192.168.72.10	1034	4.27.10.125	80	17	GET	cdn1.pics.gaytube.com	/thumbs/2012-02-02/1d81b40778d81.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6326	200	OK	-	-	-	(empty)	-	-	-	-	-	FDL9PL1KsbfRIrDei1	image/jpeg
1328298456.170921	CD2DMZ5p9AHOLIPI3	192.168.72.10	1035	4.27.10.125	80	18	GET	cdn1.pics.gaytube.com	/thumbs/2012-02-02/26da2df821651.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6261	200	OK	-	-	-	(empty)	-	-	-	-	-	FQkRqI2UxJWAySdoPj	image/jpeg
1328298456.27368	CD2DMZ5p9AHOLIPI3	192.168.72.10	1035	4.27.10.125	80	19	GET	cdn1.pics.gaytube.com	/thumbs/2012-02-02/90eef22e83041.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3476	200	OK	-	-	-	(empty)	-	-	-	-	-	FDZ4044uFJ8O1z9Eyk	image/jpeg
1328298456.273372	C7C9C25Mgb2I8Rv0l	192.168.72.10	1034	4.27.10.125	80	18	GET	cdn1.pics.gaytube.com	/thumbs/2012-01-13/d82565f549311.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5688	200	OK	-	-	-	(empty)	-	-	-	-	-	FOiyMr3nXdf0E5JQXj	image/jpeg
1328298456.459028	CD2DMZ5p9AHOLIPI3	192.168.72.10	1035	4.27.10.125	80	20	GET	cdn1.pics.gaytube.com	/thumbs/2012-02-02/bfb064bca4311.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8617	200	OK	-	-	-	(empty)	-	-	-	-	-	FfRc6B1yN29fVMu9ik	image/jpeg
