#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-08-15
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1348782819.622678	ChHtpx1CeLFTbnLtp9	192.168.69.10	1034	146.82.152.235	80	3	GET	c1601132.cdn.cloudfiles.rackspacecloud.com	/Broker Buttons/Oanda/OANDA LOGO.gif	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1856	200	OK	-	-	-	(empty)	-	-	-	-	-	FlHDl649V6okAqa5ge	image/gif
1348782820.110032	CcYU212tB6x5HWmj83	192.168.69.10	1032	146.82.152.235	80	8	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/flags/flags_polish.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	316	200	OK	-	-	-	(empty)	-	-	-	-	-	F27M4h1PaRw8SsHO7g	image/png
1348782820.111348	CiTcXk2xtJuWJHvAi1	192.168.69.10	1035	146.82.152.235	80	7	GET	c1601132.cdn.cloudfiles.rackspacecloud.com	/GCI_APR11_100x33.gif	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3732	200	OK	-	-	-	(empty)	-	-	-	-	-	FBHW314czDiKP4r5V3	image/gif
1348782820.110331	CvJw7014jwdOdZrV16	192.168.69.10	1033	146.82.152.235	80	10	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/flags/flags_greek.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	433	200	OK	-	-	-	(empty)	-	-	-	-	-	FBdeO53vkKRRcJ7Mi9	image/png
1348782820.11158	ChHtpx1CeLFTbnLtp9	192.168.69.10	1034	146.82.152.235	80	4	GET	c1601132.cdn.cloudfiles.rackspacecloud.com	/Broker Buttons/Youtrade FX/100x33.jpg	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2925	200	OK	-	-	-	(empty)	-	-	-	-	-	FvcI863EoPsj9qcT7j	image/jpeg
1348782820.439112	CcYU212tB6x5HWmj83	192.168.69.10	1032	146.82.152.235	80	9	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/flags/flags_dutch.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	367	200	OK	-	-	-	(empty)	-	-	-	-	-	FVREQbZLJFZc64bjj	image/png
1348782820.564077	CvJw7014jwdOdZrV16	192.168.69.10	1033	146.82.152.235	80	11	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/flags/flags_sweden.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	472	200	OK	-	-	-	(empty)	-	-	-	-	-	FpvpzRLJxgcYrJXsd	image/png
1348782820.56377	CiTcXk2xtJuWJHvAi1	192.168.69.10	1035	146.82.152.235	80	8	GET	c1601132.cdn.cloudfiles.rackspacecloud.com	/Broker Buttons/FXPro/100x33-FxPro-logo.gif	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4375	200	OK	-	-	-	(empty)	-	-	-	-	-	FObX2seqIsaOBHDa5	image/gif
1348782820.565033	ChHtpx1CeLFTbnLtp9	192.168.69.10	1034	146.82.152.235	80	5	GET	c1601132.cdn.cloudfiles.rackspacecloud.com	/4xp_100x33_newlogo.jpg	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4139	200	OK	-	-	-	(empty)	-	-	-	-	-	FJkIeb3scTKyKMITMc	image/jpeg
1348782820.565259	CcYU212tB6x5HWmj83	192.168.69.10	1032	146.82.152.235	80	10	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/flags/flags_finland.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	405	200	OK	-	-	-	(empty)	-	-	-	-	-	Fc81jk27PZw0UkYu63	image/png
1348782820.872201	CvJw7014jwdOdZrV16	192.168.69.10	1033	146.82.152.235	80	12	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/flags/flags_skorea.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	658	200	OK	-	-	-	(empty)	-	-	-	-	-	FdYT9f44dmC8PZfeq6	image/png
1348782820.873	CcYU212tB6x5HWmj83	192.168.69.10	1032	146.82.152.235	80	11	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/flags/flags_mexico.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1257	200	OK	-	-	-	(empty)	-	-	-	-	-	FLGmtoZjsyTe5GKQi	image/png
