#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-26-51
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1323198457.783441	CYlTRR1OsUSbB2ZWT3	192.168.22.10	1047	46.182.104.137	80	2	GET	igroky.in	/w.php?f=29&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	57344	200	OK	-	-	-	(empty)	-	-	-	-	-	FxMZBF4hyvWzNbwLV2	application/x-dosexec
1323198458.546447	CgCCD01cnM0SF7ggej	192.168.22.10	1048	78.159.108.173	80	1	GET	goodfinder.info	/stat/cmd.php?id=ALAN-1FD4B27F5D_78144B1E&uid=21&os=WinXPsp2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1323198458.220804	CYlTRR1OsUSbB2ZWT3	192.168.22.10	1047	46.182.104.137	80	3	GET	igroky.in	/content/2ddfp.php?f=29	http://igroky.in/main.php?page=1a5d9a1e171dc37c	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	113274	200	OK	-	-	-	(empty)	-	-	-	-	-	FCxsr82BAPiIgvlpWc	application/pdf
1323198459.263228	CYlTRR1OsUSbB2ZWT3	192.168.22.10	1047	46.182.104.137	80	4	GET	igroky.in	/content/field.swf	http://adf.ly/2MWH	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1383	200	OK	-	-	-	(empty)	-	-	-	-	-	FEdgSB9jW8Psnbmm5	application/x-shockwave-flash
1323198475.089032	C2x9pC3LZTiTG9BMS4	192.168.22.10	1049	46.182.104.137	80	1	GET	igroky.in	/content/v1.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3985	200	OK	-	-	-	(empty)	-	-	-	-	-	FchqmG1ojnnZxH5iL4	application/zip
1323198475.711363	C0yQrDtM6ud5b9xnh	192.168.22.10	1050	46.182.104.137	80	1	GET	igroky.in	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FF3PeGEbtxMdOafjc	text/html
1323198475.820328	C0yQrDtM6ud5b9xnh	192.168.22.10	1050	46.182.104.137	80	2	GET	igroky.in	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FLJDek10a9OW1GHLdl	text/html
1323198475.929991	C0yQrDtM6ud5b9xnh	192.168.22.10	1050	46.182.104.137	80	3	GET	igroky.in	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fehmkh44gkbFlEOhKl	text/html
1323198476.043781	C0yQrDtM6ud5b9xnh	192.168.22.10	1050	46.182.104.137	80	4	GET	igroky.in	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FPrtbU6T26hmDuVa	text/html
1323198477.194293	CMYLnO3wFcnGufCAkd	192.168.22.10	1051	69.39.236.36	80	1	POST	adf.ly	/callback/18ca67ae006ef11e5c68f7c35d76390c	http://adf.ly/omnigy7425325409.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	249	0	200	OK	-	-	-	(empty)	-	-	-	Ft7Fme3brvXTxzOyph	text/plain	-	-
1323198476.309235	C0yQrDtM6ud5b9xnh	192.168.22.10	1050	46.182.104.137	80	5	GET	igroky.in	/w.php?f=29&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1323198519.820961	Cykjzm2uYlt97I1259	192.168.22.10	1052	78.159.108.173	80	1	GET	goodfinder.info	/stat/cmd.php?id=ALAN-1FD4B27F5D_78144B1E&uid=21&os=WinXPsp2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
#close	2014-04-03-10-26-52
