#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-22-58
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1337207627.667037	CgYdOq4xCpqqxNINUe	192.168.127.10	1041	62.210.160.193	80	5	GET	www.easyvols.org	/base/js/formMEH.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	29045	200	OK	-	-	-	(empty)	-	-	-	-	-	FoTdn6Oj4CYU2ZzMa	text/plain
1337207627.64346	CGwoew4XbyzwXKP7ye	192.168.127.10	1048	85.17.122.246	80	1	GET	openx-google.info	/banners.cgi?advert_id=1&banner_id=1&chid=341aa8fca26bcff7830499c1c5f8e359	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	626	200	OK	-	-	-	(empty)	-	-	-	-	-	FbdlcJ2zS8WvktG3Uh	text/html
1337207627.699426	CuHfaQ3OKB1SnA88nl	192.168.127.10	1032	46.20.229.2	80	8	GET	www.toytowngermany.com	/xtra/frontpages2/images_gallery/19287.jpg	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6051	200	OK	-	-	-	(empty)	-	-	-	-	-	FAcvoD2aKq7HEU63l4	image/jpeg
1337207627.71626	CWEtJ33apgP3LMFJll	192.168.127.10	1031	46.20.229.2	80	9	GET	www.toytowngermany.com	/xtra/frontpages2/images_gallery/16638.jpg	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5790	200	OK	-	-	-	(empty)	-	-	-	-	-	Fo5put10w4A6gXaECa	image/jpeg
1337207627.378789	Cs8OXv4P9otVNuzqcj	192.168.127.10	1047	62.210.160.193	80	1	GET	www.easyvols.org	/base/js/tools.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	159564	200	OK	-	-	-	(empty)	-	-	-	-	-	FBg9Uj3iYP8gv9QKY9	text/plain
1337207627.633844	C2iCNq2VPjHCfuXnwe	192.168.127.10	1042	27.121.104.59	80	2	GET	www.ukforex.co.uk	/Content/themes/ozforex/telerik.css	http://www.ukforex.co.uk/partner-tools/CurrencyConverter/UK/w	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11063	200	OK	-	-	-	(empty)	-	-	-	-	-	FJkoFf4M9T1n6A122l	text/plain
1337207627.764443	CgYdOq4xCpqqxNINUe	192.168.127.10	1041	62.210.160.193	80	6	GET	www.easyvols.org	/base/js/formMEC.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	28413	200	OK	-	-	-	(empty)	-	-	-	-	-	FWhofl2FEhqm4zhEfh	text/plain
1337207627.805439	CuHfaQ3OKB1SnA88nl	192.168.127.10	1032	46.20.229.2	80	9	GET	www.toytowngermany.com	/xtra/frontpages2/images_gallery/18469.jpg	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5354	200	OK	-	-	-	(empty)	-	-	-	-	-	FrYE3t1WUU5CkM5coc	image/jpeg
1337207627.820582	CWEtJ33apgP3LMFJll	192.168.127.10	1031	46.20.229.2	80	10	GET	www.toytowngermany.com	/forum/public/style_images/toytown/search_icon.png	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	637	200	OK	-	-	-	(empty)	-	-	-	-	-	Fr3ZVPUePHFOlWeqd	image/png
1337207627.850517	Cs8OXv4P9otVNuzqcj	192.168.127.10	1047	62.210.160.193	80	2	GET	www.easyvols.org	/base/js/completion.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14337	200	OK	-	-	-	(empty)	-	-	-	-	-	FzWABn4UEinjJ9mug2	text/plain
1337207627.862902	CgYdOq4xCpqqxNINUe	192.168.127.10	1041	62.210.160.193	80	7	GET	www.easyvols.org	/base/js/completionMEV.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43500	200	OK	-	-	-	(empty)	-	-	-	-	-	FY5Huc3jcliN4Ahgkl	text/plain
1337207627.945337	Cs8OXv4P9otVNuzqcj	192.168.127.10	1047	62.210.160.193	80	3	GET	www.easyvols.org	/base/js/completionMEH.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13184	200	OK	-	-	-	(empty)	-	-	-	-	-	F74Bd819IxKXFiQaB4	text/plain
